Year,ICD10 Code,ICD10 Diagnosis,Diagnosis Type,Metric_Admissions,Sex_x,Value_Admissions,Metric_Fatalities,Value_Fatalities,"Tobacco Price
Index","Retail Prices
Index",Tobacco Price Index Relative to Retail Price Index,Real Households' Disposable Income,Affordability of Tobacco Index,Household Expenditure on Tobacco,Household Expenditure Total,Expenditure on Tobacco as a Percentage of Expenditure,All Pharmacotherapy Prescriptions,Nicotine Replacement Therapy (NRT) Prescriptions,Bupropion (Zyban) Prescriptions,Varenicline (Champix) Prescriptions,Net Ingredient Cost of All Pharmacotherapies,Net Ingredient Cost of Nicotine Replacement Therapies (NRT),Net Ingredient Cost of Bupropion (Zyban),Net Ingredient Cost of Varenicline (Champix),16 and Over,16-24,25-34,35-49,50-59,60 and Over
2014,C00-D48,All cancers,All cancers,Number of admissions,Both,1691035,Number of observed deaths,136312,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C00-D48,All cancers,All cancers,Number of admissions,Both,1691035,Number of observed deaths,136312,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C00-D48,All cancers,All cancers,Number of admissions,Both,1691035,Number of observed deaths,136312,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C00-D48,All cancers,All cancers,Number of admissions,Both,1691035,Attributable number,37400,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C00-D48,All cancers,All cancers,Number of admissions,Both,1691035,Attributable number,37400,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C00-D48,All cancers,All cancers,Number of admissions,Both,1691035,Attributable number,37400,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C00-D48,All cancers,All cancers,Attributable number,Both,158500,Number of observed deaths,136312,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C00-D48,All cancers,All cancers,Attributable number,Both,158500,Number of observed deaths,136312,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C00-D48,All cancers,All cancers,Attributable number,Both,158500,Number of observed deaths,136312,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C00-D48,All cancers,All cancers,Attributable number,Both,158500,Attributable number,37400,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C00-D48,All cancers,All cancers,Attributable number,Both,158500,Attributable number,37400,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C00-D48,All cancers,All cancers,Attributable number,Both,158500,Attributable number,37400,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Both,611002,Number of observed deaths,61744,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Both,611002,Number of observed deaths,61744,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Both,611002,Number of observed deaths,61744,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
